Type,SDP Name,Mux Category,Reference
att-field (media level only),rtcp-idms,NORMAL,[RFC7272][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),predefined_ROI,TBD,[3GPP TS 26.114 v13.1.0][_3GPP_Specifications_Manager][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),msid,TBD,[RFC-ietf-mmusic-msid-15][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),rtcp-mux-only,TBD,[RFC-ietf-mmusic-mux-exclusive-10][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),ebuacip,TBD,[EBU Tech 3368 - Audio Contribution over IP – Profiles][Felix_Poulin][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (media level only),3ge2ae,IDENTICAL,[3GPP TS 24.229 12.14.0][Frederic_Firmin]
att-field (media level only),websocket-uri,CAUTION,[RFC8124]
att-field (media level only),sctp-port,CAUTION,[RFC-ietf-mmusic-sctp-sdp-25]
att-field (media level only),max-message-size,CAUTION,[RFC-ietf-mmusic-sctp-sdp-25]
att-field (media level only),vbd,TBD,"[ITU-T Recommendation V.152 ""Procedures for supporting voice-band data over IP networks"", September 2010][Simao_Campos-Neto]"
att-field (media level only),maxmptime,TBD,"[ITU-T Recommendation V.152 ""Procedures for supporting voice-band data over IP networks"", September 2010][Simao_Campos-Neto]"
att-field (media level only),pmft,TBD,"[ITU-T Recommendation V.152 ""Procedures for supporting voice-band data over IP networks"", September 2010][Simao_Campos-Neto]"
att-field (media level only),tls-id,IDENTICAL,[RFC-ietf-mmusic-dtls-sdp-32]
att-field (media level only),hlang-recv,NORMAL,[RFC8373]
att-field (media level only),hlang-send,NORMAL,[RFC8373]
att-field (media level only),rid,SPECIAL,[RFC-ietf-mmusic-rid-15]
att-field (media level only),bundle-only,NORMAL,[RFC-ietf-mmusic-sdp-bundle-negotiation-52]
att-field (media level only),simulcast,NORMAL,[RFC-ietf-mmusic-sdp-simulcast-13]
