"ID",URI,Filename,Reference
sppf:1,urn:ietf:params:xml:schema:sppf:1,schema/sppf-1.xsd,[RFC7877]
traceroute-1.0,urn:ietf:params:xml:schema:traceroute-1.0,schema/traceroute-1.0.xsd,[RFC5388]
vcard-4.0,urn:ietf:params:xml:schema:vcard-4.0,schema/vcard-4.0.xsd,[RFC7852]
vts-lang,urn:ietf:params:xml:schema:vts-lang,schema/vts-lang.xsd,[RFC4153]
xcap-caps,urn:ietf:params:xml:schema:xcap-caps,schema/xcap-caps.xsd,[RFC4825]
xcap-diff,urn:ietf:params:xml:schema:xcap-diff,schema/xcap-diff.xsd,[RFC5874]
xcap-error,urn:ietf:params:xml:schema:xcap-error,schema/xcap-error.xsd,[RFC4825]
xcon-ccmp,urn:ietf:params:xml:schema:xcon-ccmp,schema/xcon-ccmp.xsd,[RFC6503]
xcon-conference-info,urn:ietf:params:xml:schema:xcon-conference-info,schema/xcon-conference-info.rng,[RFC6501]
xcon-conference-info-diff,urn:ietf:params:xml:schema:xcon-conference-info-diff,schema/xcon-conference-info-diff.xsd,[RFC6502]
