"ID",URI,Filename,Reference
netconf:base:1.0,urn:ietf:params:xml:ns:netconf:base:1.0,ns/netconf/base/1.0.txt,[RFC6241]
netconf:default:1.0,urn:ietf:params:xml:ns:netconf:default:1.0,ns/netconf/default/1.0.txt,[RFC6243]
netconf:notification:1.0,urn:ietf:params:xml:ns:netconf:notification:1.0,ns/netconf/notification/1.0.txt,[RFC5277]
netconf:partial-lock:1.0,urn:ietf:params:xml:ns:netconf:partial-lock:1.0,ns/netconf/partial-lock/1.0.txt,[RFC5717]
netconf:soap,urn:ietf:params:xml:ns:netconf:soap,ns/netconf/soap.txt,[RFC4743]
netmod:dsdl-annotations:1,urn:ietf:params:xml:ns:netmod:dsdl-annotations:1,ns/netmod/dsdl-annotations/1.txt,[RFC6110]
netmod:notification,urn:ietf:params:xml:ns:netmod:notification,ns/netmod/notification.txt,[RFC5277]
netmod:xpath-extensions:1,urn:ietf:params:xml:ns:netmod:xpath-extensions:1,ns/netmod/xpath-extensions/1.txt,[RFC6110]
nttdm-1.0,urn:ietf:params:xml:ns:nttdm-1.0,ns/nttdm-1.0.txt,[RFC6137]
p2p:config-base,urn:ietf:params:xml:ns:p2p:config-base,ns/p2p/config-base.txt,[RFC6940]
p2p:config-base:share,urn:ietf:params:xml:ns:p2p:config-base:share,ns/p2p/config-base/share.txt,[RFC8076]
p2p:config-base:sip,urn:ietf:params:xml:ns:p2p:config-base:sip,ns/p2p/config-base/sip.txt,[RFC7904]
p2p:config-chord,urn:ietf:params:xml:ns:p2p:config-chord,ns/p2p/config-chord.txt,[RFC6940]
p2p:config-diagnostics,urn:ietf:params:xml:ns:p2p:config-diagnostics,ns/p2p/config-diagnostics.txt,[RFC7851]
p2p:redir,urn:ietf:params:xml:ns:p2p:redir,ns/p2p/redir.txt,[RFC7374]
p2p:route-mode,urn:ietf:params:xml:ns:p2p:route-mode,ns/p2p/route-mode.txt,[RFC7263]
p2p:self-tuning,urn:ietf:params:xml:ns:p2p:self-tuning,ns/p2p/self-tuning.txt,[RFC7363]
pal,urn:ietf:params:xml:ns:pal,ns/pal.txt,[RFC8295]
patch-ops-error,urn:ietf:params:xml:ns:patch-ops-error,ns/patch-ops-error.txt,[RFC5261]
pidf,urn:ietf:params:xml:ns:pidf,ns/pidf.txt,[RFC3863]
pidf:caps,urn:ietf:params:xml:ns:pidf:caps,ns/pidf/caps.txt,[RFC5196]
pidf:cipid,urn:ietf:params:xml:ns:pidf:cipid,ns/pidf/cipid.txt,[RFC4482]
pidf:data-model,urn:ietf:params:xml:ns:pidf:data-model,ns/pidf/data-model.txt,[RFC4479]
